,0,1,2,3,4,5,6,7,market
0,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
1,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
2,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
3,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
4,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
5,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
6,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
7,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
8,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
9,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
10,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
11,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
12,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
13,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
14,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
15,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
16,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
17,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
18,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
19,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
20,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
21,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
22,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
23,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
24,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
25,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
26,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
27,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
28,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
29,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
30,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
31,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
32,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
33,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
34,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
35,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
36,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
37,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
38,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
39,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
40,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
41,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
42,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
43,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
44,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
45,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
46,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
47,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
48,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
49,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
50,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
51,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
52,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
53,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
54,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
55,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
56,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
57,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
58,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
59,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
60,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
61,2.0,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,37232447572.0,1e+18,1e+18,6.9975e+16,1604784056.0,2.0,eth_options
